"idCaptura";"CPUPercent";"CPUFreq";"RAMTotal";"RAMDisponivel";"RAMPercentual";"DISKTotal";"DISKDisponivel";"DISKPercentual";"REDERecebida";"REDEEnviada";"PROCESSODesativado";"PROCESSOAtivos";"PROCESSOTotal";"dtHora"
1;6.7;2419.0;16889782272.0;6796312576.0;59.8;61.2;92961411072.0;61.2;343913;166518;7;243;250;"2025-03-31 13:49:43"
2;9.5;2419.0;16889782272.0;6793306112.0;59.8;61.2;92961411072.0;61.2;343927;166522;7;244;251;"2025-03-31 13:49:45"
3;7.3;2419.0;16889782272.0;6803910656.0;59.7;61.2;92961411072.0;61.2;343935;166524;7;244;251;"2025-03-31 13:49:47"
4;8.2;2419.0;16889782272.0;6807146496.0;59.7;61.2;92961411072.0;61.2;343947;166526;7;244;251;"2025-03-31 13:49:48"
5;14.0;2419.0;16889782272.0;6823120896.0;59.6;61.2;92961411072.0;61.2;343967;166532;7;244;251;"2025-03-31 13:49:50"
6;13.3;2419.0;16889782272.0;6828621824.0;59.6;61.2;92961411072.0;61.2;343984;166534;7;244;251;"2025-03-31 13:49:52"
7;12.0;2419.0;16889782272.0;6839455744.0;59.5;61.2;92961411072.0;61.2;343991;166534;7;244;251;"2025-03-31 13:49:54"
8;8.4;2419.0;16889782272.0;6838685696.0;59.5;61.2;92961411072.0;61.2;343996;166534;7;244;251;"2025-03-31 13:49:55"
9;9.3;2419.0;16889782272.0;6835118080.0;59.5;61.2;92961411072.0;61.2;344006;166538;7;244;251;"2025-03-31 13:49:57"
10;7.6;2419.0;16889782272.0;6835793920.0;59.5;61.2;92961411072.0;61.2;344014;166542;7;244;251;"2025-03-31 13:49:59"
11;11.5;2419.0;16889782272.0;6841995264.0;59.5;61.2;92961411072.0;61.2;344019;166545;7;244;251;"2025-03-31 13:50:01"
12;7.6;2419.0;16889782272.0;6837121024.0;59.5;61.2;92961411072.0;61.2;344020;166546;7;244;251;"2025-03-31 13:50:02"
13;9.4;2419.0;16889782272.0;6838140928.0;59.5;61.2;92961411072.0;61.2;344033;166559;7;244;251;"2025-03-31 13:50:04"
14;9.4;2419.0;16889782272.0;6839287808.0;59.5;61.2;92961411072.0;61.2;344041;166563;7;244;251;"2025-03-31 13:50:06"
15;8.5;2419.0;16889782272.0;6836068352.0;59.5;61.2;92961411072.0;61.2;344046;166565;7;244;251;"2025-03-31 13:50:08"
16;8.0;1209.0;16889782272.0;6852149248.0;59.4;61.2;92961411072.0;61.2;344053;166567;7;243;250;"2025-03-31 13:50:09"
17;6.7;2419.0;16889782272.0;6856081408.0;59.4;61.2;92961476608.0;61.2;344063;166567;7;243;250;"2025-03-31 13:50:11"
18;8.6;2419.0;16889782272.0;6857035776.0;59.4;61.2;92961476608.0;61.2;344076;166571;7;243;250;"2025-03-31 13:50:13"
19;6.2;2419.0;16889782272.0;6856077312.0;59.4;61.2;92961476608.0;61.2;344089;166573;7;243;250;"2025-03-31 13:50:14"
20;8.9;2419.0;16889782272.0;6855659520.0;59.4;61.2;92961411072.0;61.2;344118;166589;7;243;250;"2025-03-31 13:50:16"
21;8.0;2419.0;16889782272.0;6853599232.0;59.4;61.2;92961411072.0;61.2;344132;166591;7;243;250;"2025-03-31 13:50:18"
22;7.5;2419.0;16889782272.0;6853898240.0;59.4;61.2;92961411072.0;61.2;344138;166595;7;243;250;"2025-03-31 13:50:20"
23;9.2;2419.0;16889782272.0;6858178560.0;59.4;61.2;92961411072.0;61.2;344143;166597;7;243;250;"2025-03-31 13:50:21"
24;7.6;1209.0;16889782272.0;6848098304.0;59.5;61.2;92961411072.0;61.2;344149;166598;7;243;250;"2025-03-31 13:50:23"
25;9.9;2419.0;16889782272.0;6847619072.0;59.5;61.2;92961411072.0;61.2;344155;166599;8;243;251;"2025-03-31 13:50:25"
26;15.0;2419.0;16889782272.0;6833577984.0;59.5;61.2;92961423360.0;61.2;344166;166603;8;243;251;"2025-03-31 13:50:27"
27;12.0;2419.0;16889782272.0;6821212160.0;59.6;61.2;92961419264.0;61.2;344234;166657;8;243;251;"2025-03-31 13:50:28"
28;7.9;2419.0;16889782272.0;6822559744.0;59.6;61.2;92961419264.0;61.2;344246;166659;8;243;251;"2025-03-31 13:50:30"
29;7.3;2419.0;16889782272.0;6821724160.0;59.6;61.2;92961419264.0;61.2;344260;166663;8;243;251;"2025-03-31 13:50:32"
30;8.9;2419.0;16889782272.0;6821974016.0;59.6;61.2;92961419264.0;61.2;344286;166673;8;242;250;"2025-03-31 13:50:34"
31;7.5;2419.0;16889782272.0;6848655360.0;59.5;61.2;92961419264.0;61.2;344293;166674;8;242;250;"2025-03-31 13:50:35"
32;11.0;2419.0;16889782272.0;6844260352.0;59.5;61.2;92961419264.0;61.2;344299;166676;8;242;250;"2025-03-31 13:50:37"
33;17.9;2419.0;16889782272.0;6785814528.0;59.8;61.2;92961419264.0;61.2;344347;166714;8;242;250;"2025-03-31 13:50:39"
34;22.9;2419.0;16889782272.0;6762434560.0;60.0;61.2;92961419264.0;61.2;344459;166752;8;242;250;"2025-03-31 13:50:41"
35;37.7;2419.0;16889782272.0;6601973760.0;60.9;61.2;92961419264.0;61.2;344983;166966;8;242;250;"2025-03-31 13:50:43"
36;19.0;2419.0;16889782272.0;6584664064.0;61.0;61.2;92961419264.0;61.2;345001;166976;8;242;250;"2025-03-31 13:50:45"
37;13.7;2419.0;16889782272.0;6589050880.0;61.0;61.2;92961484800.0;61.2;345020;166987;8;242;250;"2025-03-31 13:50:47"
38;21.3;2419.0;16889782272.0;6634635264.0;60.7;61.2;92961484800.0;61.2;345026;166991;8;242;250;"2025-03-31 13:50:50"
39;19.5;2419.0;16889782272.0;6626529280.0;60.8;61.2;92961484800.0;61.2;345113;167053;8;242;250;"2025-03-31 13:50:52"
40;18.4;2419.0;16889782272.0;6626164736.0;60.8;61.2;92961484800.0;61.2;345119;167056;8;242;250;"2025-03-31 13:50:54"
41;24.1;2419.0;16889782272.0;6626996224.0;60.8;61.2;92961484800.0;61.2;345146;167078;8;242;250;"2025-03-31 13:50:56"
42;20.5;2419.0;16889782272.0;6613549056.0;60.8;61.2;92961484800.0;61.2;345154;167084;8;242;250;"2025-03-31 13:50:58"
43;17.7;2419.0;16889782272.0;6617366528.0;60.8;61.2;92961132544.0;61.2;345168;167089;8;242;250;"2025-03-31 13:51:01"
44;22.9;2419.0;16889782272.0;6624501760.0;60.8;61.2;92961484800.0;61.2;345191;167104;8;242;250;"2025-03-31 13:51:03"
45;20.0;2419.0;16889782272.0;6623633408.0;60.8;61.2;92961484800.0;61.2;345212;167106;8;242;250;"2025-03-31 13:51:05"
46;18.6;2419.0;16889782272.0;6601371648.0;60.9;61.2;92961419264.0;61.2;345237;167110;8;242;250;"2025-03-31 13:51:07"
47;27.2;2419.0;16889782272.0;6569709568.0;61.1;61.2;92961419264.0;61.2;345288;167155;8;242;250;"2025-03-31 13:51:10"
48;24.2;2419.0;16889782272.0;6697123840.0;60.3;61.2;92961419264.0;61.2;345310;167166;8;242;250;"2025-03-31 13:51:12"
49;22.0;2419.0;16889782272.0;6670413824.0;60.5;61.2;92961419264.0;61.2;345335;167186;8;241;249;"2025-03-31 13:51:14"
50;17.3;2419.0;16889782272.0;6655578112.0;60.6;61.2;92961419264.0;61.2;345341;167189;8;241;249;"2025-03-31 13:51:16"
51;26.2;2419.0;16889782272.0;6637780992.0;60.7;61.2;92961353728.0;61.2;345391;167219;8;241;249;"2025-03-31 13:51:19"
52;19.3;2419.0;16889782272.0;6590509056.0;61.0;61.2;92961353728.0;61.2;345437;167250;8;241;249;"2025-03-31 13:51:21"
53;12.6;2419.0;16889782272.0;6592151552.0;61.0;61.2;92961353728.0;61.2;345452;167255;7;242;251;"2025-03-31 13:51:23"
54;32.5;2419.0;16889782272.0;6426349568.0;62.0;61.2;92962140160.0;61.2;345474;167270;7;244;251;"2025-03-31 13:51:25"
55;17.5;2419.0;16889782272.0;6447104000.0;61.8;61.2;92962140160.0;61.2;345622;167342;7;244;251;"2025-03-31 13:51:28"
56;15.0;2419.0;16889782272.0;6448431104.0;61.8;61.2;92962140160.0;61.2;345633;167346;7;244;251;"2025-03-31 13:51:30"
57;10.8;2419.0;16889782272.0;6511919104.0;61.4;61.2;92962140160.0;61.2;345665;167360;7;244;251;"2025-03-31 13:51:32"
58;12.4;2419.0;16889782272.0;6490783744.0;61.6;61.2;92962004992.0;61.2;345710;167392;7;244;251;"2025-03-31 13:51:34"
59;21.4;2419.0;16889782272.0;6363238400.0;62.3;61.2;92961607680.0;61.2;345854;167459;7;244;251;"2025-03-31 13:51:36"
60;14.4;2419.0;16889782272.0;6356512768.0;62.4;61.2;92961607680.0;61.2;346029;167557;7;244;251;"2025-03-31 13:51:39"
61;16.2;2419.0;16889782272.0;6346555392.0;62.4;61.2;92962377728.0;61.2;346079;167576;7;244;251;"2025-03-31 13:51:41"
62;13.6;2419.0;16889782272.0;6367301632.0;62.3;61.2;92962377728.0;61.2;346089;167579;7;244;251;"2025-03-31 13:51:43"
63;12.2;2419.0;16889782272.0;6389592064.0;62.2;61.2;92962574336.0;61.2;346102;167582;7;244;251;"2025-03-31 13:51:45"
64;18.3;2419.0;16889782272.0;6399258624.0;62.1;61.2;92961763328.0;61.2;346112;167583;7;244;251;"2025-03-31 13:51:47"
65;16.1;2419.0;16889782272.0;6422691840.0;62.0;61.2;92961763328.0;61.2;346152;167611;7;244;251;"2025-03-31 13:51:50"
