idCaptura,CPUPercent,CPUFreq,RAMTotal,RAMDisponivel,RAMPercentual,DISKTotal,DISKDisponivel,DISKPercentual,REDERecebida,REDEEnviada,PROCESSODesativado,PROCESSOAtivos,PROCESSOTotal,dtHora
1,1.8,2419,16889782272,8174100480,51.6,63.6,87281504256,63.6,188569,40430,0,1,230,"2025-03-29 14:21:26"
2,3.5,2419,16889782272,8176340992,51.6,63.6,87281504256,63.6,188585,40440,0,1,231,"2025-03-29 14:21:29"
3,17.3,2419,16889782272,8175304704,51.6,63.6,87281508352,63.6,188611,40464,0,1,231,"2025-03-29 14:21:33"
4,5.2,2419,16889782272,8176214016,51.6,63.6,87281508352,63.6,188643,40496,0,1,231,"2025-03-29 14:21:36"
5,7.8,2419,16889782272,8173752320,51.6,63.6,87281049600,63.6,188647,40501,0,1,231,"2025-03-29 14:21:40"
6,8,2419,16889782272,8203067392,51.4,63.6,87281049600,63.6,188653,40509,0,1,231,"2025-03-29 14:21:43"
7,9.1,2419,16889782272,8209141760,51.4,63.6,87281049600,63.6,188657,40513,0,1,231,"2025-03-29 14:21:47"
8,12.7,2419,16889782272,8157798400,51.7,63.6,87281049600,63.6,188660,40517,0,1,231,"2025-03-29 14:21:51"
9,12.8,2419,16889782272,8097001472,52.1,63.6,87280984064,63.6,188667,40524,0,1,232,"2025-03-29 14:21:55"
10,6.3,1209,16889782272,8104595456,52,63.6,87280984064,63.6,188699,40563,0,1,232,"2025-03-29 14:21:59"
11,4.5,2419,16889782272,8126464000,51.9,63.6,87280984064,63.6,188709,40575,0,1,234,"2025-03-29 14:22:03"
12,13,2419,16889782272,8060612608,52.3,63.6,87280918528,63.6,189096,40905,0,1,234,"2025-03-29 14:22:07"
13,35.4,2419,16889782272,8023334912,52.5,63.6,87280799744,63.6,190595,41629,0,1,234,"2025-03-29 14:22:11"
14,16,2419,16889782272,8015609856,52.5,63.6,87280885760,63.6,190890,41833,0,1,234,"2025-03-29 14:22:15"
15,11.3,2419,16889782272,7952789504,52.9,63.6,87281127424,63.6,191033,41933,0,1,234,"2025-03-29 14:22:19"
16,2.7,2419,16889782272,7971250176,52.8,63.6,87281127424,63.6,191057,41952,0,1,234,"2025-03-29 14:22:22"
17,6.3,1209,16889782272,7984746496,52.7,63.6,87280861184,63.6,191173,42040,0,1,234,"2025-03-29 14:22:26"
18,5.5,2419,16889782272,8008151040,52.6,63.6,87280746496,63.6,191196,42057,0,1,234,"2025-03-29 14:22:30"
19,12.8,1209,16889782272,8072155136,52.2,63.6,87280734208,63.6,191203,42063,0,1,234,"2025-03-29 14:22:34"
20,12.4,2419,16889782272,8084520960,52.1,63.6,87280734208,63.6,191260,42106,0,1,234,"2025-03-29 14:22:38"
21,12.8,2419,16889782272,8116629504,51.9,63.6,87280734208,63.6,191266,42111,0,1,234,"2025-03-29 14:22:41"
22,10.9,2419,16889782272,8117862400,51.9,63.6,87280697344,63.6,191285,42132,0,1,234,"2025-03-29 14:22:45"
23,10.9,2419,16889782272,8110800896,52,63.6,87280107520,63.6,191303,42140,0,1,235,"2025-03-29 14:22:49"
24,10.5,2419,16889782272,7943315456,53,63.6,87277936640,63.6,191457,42286,0,1,238,"2025-03-29 14:23:36"
25,12.1,2419,16889782272,7870296064,53.4,63.6,87276277760,63.6,191477,42303,0,1,239,"2025-03-29 14:23:40"
26,1.8,2419,16889782272,8076587008,52.2,63.6,87274840064,63.6,193572,44123,0,1,233,"2025-03-29 14:28:30"
27,7.9,2419,16889782272,8077021184,52.2,63.6,87274774528,63.6,193573,44125,0,1,234,"2025-03-29 14:28:33"
28,10.1,2419,16889782272,8080789504,52.2,63.6,87274774528,63.6,193580,44132,0,1,234,"2025-03-29 14:28:37"
29,6.4,2419,16889782272,8086233088,52.1,63.6,87274774528,63.6,193583,44146,0,1,234,"2025-03-29 14:28:40"
30,9.9,2419,16889782272,8090382336,52.1,63.6,87274774528,63.6,193587,44148,0,1,234,"2025-03-29 14:28:44"
31,6.6,2419,16889782272,8091443200,52.1,63.6,87274774528,63.6,193590,44150,0,1,234,"2025-03-29 14:28:48"
32,7.2,2419,16889782272,8105451520,52,63.6,87274708992,63.6,193594,44155,0,1,233,"2025-03-29 14:28:51"
33,10.9,2419,16889782272,8106356736,52,63.6,87274774528,63.6,193596,44161,0,1,233,"2025-03-29 14:28:55"
